model,combination,mean_f1_weighted
MLP,angles,0.5454758365129881
MLP,distance_geometry,0.5287609036989843
MLP,angles+acceleration,0.517677367781857
MLP,distance_geometry+angles,0.5141257757550328
MLP,angles+speed,0.5087688790397769
MLP,distance_geometry+angles+acceleration,0.5082435130229247
MLP,distance_geometry+angles+speed,0.4860198242589882
MLP,distance_geometry+acceleration,0.48279988973874416
MLP,angles+speed+acceleration,0.4826201249730661
MLP,distance_geometry+angles+speed+acceleration,0.47791168497824843
MLP,distance_geometry+speed,0.4697769387475271
MLP,acceleration,0.45737035754063615
MLP,distance_geometry+speed+acceleration,0.4494167975127727
MLP,speed+acceleration,0.4335899704011159
MLP,speed,0.4241863202157319
